2025-07-22 19:21:57 | INFO     | nubox_rpa.date_utils | Generando rangos mensuales desde 2025-01-01 hasta 2025-07-01
2025-07-22 19:21:57 | INFO     | nubox_rpa.date_utils | Se generaron 6 rangos mensuales
2025-07-22 19:22:11 | INFO     | nubox_rpa.date_utils | Generando rangos mensuales desde 2025-01-01 hasta 2025-07-22
2025-07-22 19:22:11 | INFO     | nubox_rpa.date_utils | Se generaron 7 rangos mensuales
2025-07-22 19:22:18 | INFO     | nubox_rpa.date_utils | Generando rangos mensuales desde 2025-01-01 hasta 2025-07-22
2025-07-22 19:22:18 | INFO     | nubox_rpa.date_utils | Se generaron 7 rangos mensuales
2025-07-22 19:22:21 | INFO     | nubox_rpa.date_utils | Generando rangos mensuales desde 2025-01-01 hasta 2025-07-22
2025-07-22 19:22:21 | INFO     | nubox_rpa.date_utils | Se generaron 7 rangos mensuales
2025-07-22 19:22:21 | INFO     | nubox_rpa.service | 🚀 NuboxService inicializado en MODO ULTRA RÁPIDO
2025-07-22 19:22:21 | INFO     | nubox_rpa.browser_manager | 🚀 BrowserManager inicializado en MODO ULTRA RÁPIDO
2025-07-22 19:22:22 | INFO     | nubox_rpa.speed_manager | 🚀 SpeedManager inicializado - Modo ULTRA RÁPIDO activado
2025-07-22 19:22:22 | INFO     | nubox_rpa.speed_manager | ⚡ Configuraciones de velocidad aplicadas al navegador
2025-07-22 19:22:22 | INFO     | nubox_rpa.browser_manager | ⚡ Driver ultra-optimizado inicializado exitosamente
2025-07-22 19:22:22 | INFO     | nubox_rpa.login | ⚡ LoginService en modo ULTRA RÁPIDO
2025-07-22 19:22:22 | INFO     | nubox_rpa.navigation | ⚡ NavigationService en modo ULTRA RÁPIDO
2025-07-22 19:22:22 | INFO     | nubox_rpa.parameter_config | ⚡ ParameterConfigService en modo ULTRA RÁPIDO
2025-07-22 19:22:22 | INFO     | nubox_rpa.report_extractor | ⚡ ReportExtractorService en modo ULTRA RÁPIDO
2025-07-22 19:22:22 | INFO     | nubox_rpa.ui_elements | ⚡ UIElementService en modo ULTRA RÁPIDO
2025-07-22 19:22:22 | INFO     | nubox_rpa.service | ⚡ Todos los servicios ultra-optimizados inicializados
2025-07-22 19:22:25 | INFO     | nubox_rpa.browser_manager | ⚡ Navegación completada en 2.99s: https://web.nubox.com/Login/Account/Login?ReturnUrl=%2FSistemaLogin
2025-07-22 19:22:25 | INFO     | nubox_rpa.login | ⚡ Diagnóstico completado: diagnostic_complete
2025-07-22 19:22:44 | WARNING  | nubox_rpa.speed_manager | ⏰ Timeout buscando elemento después de 19.22s
2025-07-22 19:23:00 | ERROR    | nubox_rpa.login | ⚡ Campo de usuario no encontrado
2025-07-22 19:23:00 | ERROR    | nubox_rpa.login | ⚡ Login falló después de 38.34s
